MSGs,Ses,
2336,,528,,
Router 2.168.0.10
RT,RIB,RIB in 192.168.0.23,RIB in 192.168.0.9,RIB in 192.168.0.27,RIB in 192.168.0.19,RIB in 192.168.0.2,RIB in 192.168.0.1,RIB in 192.168.0.32,RIB in 192.168.0.22,RIB in 192.168.0.26,RIB in 192.168.0.17,RIB in 192.168.0.13,RIB in 192.168.0.4,RIB in 192.168.0.8,RIB in 192.168.0.18,RIB in 192.168.0.29,RIB in 192.168.0.20,RIB in 192.168.0.16,RIB in 192.168.0.28,RIB in 192.168.0.7,RIB in 192.168.0.15,RIB in 192.168.0.12,RIB in 192.168.0.30,RIB in 192.168.0.3,RIB in 192.168.0.21,RIB in 192.168.0.11,RIB in 192.168.0.14,RIB in 192.168.0.0,RIB in 192.168.0.25,RIB in 192.168.0.31,RIB in 192.168.0.5,RIB in 192.168.0.24,RIB in 192.168.0.6,RIB out 192.168.0.23,RIB out 192.168.0.9,RIB out 192.168.0.27,RIB out 192.168.0.19,RIB out 192.168.0.2,RIB out 192.168.0.1,RIB out 192.168.0.32,RIB out 192.168.0.22,RIB out 192.168.0.26,RIB out 192.168.0.17,RIB out 192.168.0.13,RIB out 192.168.0.4,RIB out 192.168.0.8,RIB out 192.168.0.18,RIB out 192.168.0.29,RIB out 192.168.0.20,RIB out 192.168.0.16,RIB out 192.168.0.28,RIB out 192.168.0.7,RIB out 192.168.0.15,RIB out 192.168.0.12,RIB out 192.168.0.30,RIB out 192.168.0.3,RIB out 192.168.0.21,RIB out 192.168.0.11,RIB out 192.168.0.14,RIB out 192.168.0.0,RIB out 192.168.0.25,RIB out 192.168.0.31,RIB out 192.168.0.5,RIB out 192.168.0.24,RIB out 192.168.0.6,
57,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,
Router 2.168.0.9
RT,RIB,RIB in 192.168.0.23,RIB in 192.168.0.27,RIB in 192.168.0.19,RIB in 192.168.0.2,RIB in 192.168.0.1,RIB in 192.168.0.32,RIB in 192.168.0.22,RIB in 192.168.0.26,RIB in 192.168.0.17,RIB in 192.168.0.13,RIB in 192.168.0.4,RIB in 192.168.0.8,RIB in 192.168.0.18,RIB in 192.168.0.29,RIB in 192.168.0.20,RIB in 192.168.0.16,RIB in 192.168.0.28,RIB in 192.168.0.7,RIB in 192.168.0.15,RIB in 192.168.0.12,RIB in 192.168.0.30,RIB in 192.168.0.3,RIB in 192.168.0.21,RIB in 192.168.0.11,RIB in 192.168.0.10,RIB in 192.168.0.14,RIB in 192.168.0.0,RIB in 192.168.0.25,RIB in 192.168.0.31,RIB in 192.168.0.5,RIB in 192.168.0.24,RIB in 192.168.0.6,RIB out 192.168.0.23,RIB out 192.168.0.27,RIB out 192.168.0.19,RIB out 192.168.0.2,RIB out 192.168.0.1,RIB out 192.168.0.32,RIB out 192.168.0.22,RIB out 192.168.0.26,RIB out 192.168.0.17,RIB out 192.168.0.13,RIB out 192.168.0.4,RIB out 192.168.0.8,RIB out 192.168.0.18,RIB out 192.168.0.29,RIB out 192.168.0.20,RIB out 192.168.0.16,RIB out 192.168.0.28,RIB out 192.168.0.7,RIB out 192.168.0.15,RIB out 192.168.0.12,RIB out 192.168.0.30,RIB out 192.168.0.3,RIB out 192.168.0.21,RIB out 192.168.0.11,RIB out 192.168.0.10,RIB out 192.168.0.14,RIB out 192.168.0.0,RIB out 192.168.0.25,RIB out 192.168.0.31,RIB out 192.168.0.5,RIB out 192.168.0.24,RIB out 192.168.0.6,
58,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2336,
Router 2.168.0.20
RT,RIB,RIB in 192.168.0.23,RIB in 192.168.0.9,RIB in 192.168.0.27,RIB in 192.168.0.19,RIB in 192.168.0.2,RIB in 192.168.0.1,RIB in 192.168.0.32,RIB in 192.168.0.22,RIB in 192.168.0.26,RIB in 192.168.0.17,RIB in 192.168.0.13,RIB in 192.168.0.4,RIB in 192.168.0.8,RIB in 192.168.0.18,RIB in 192.168.0.29,RIB in 192.168.0.16,RIB in 192.168.0.28,RIB in 192.168.0.7,RIB in 192.168.0.15,RIB in 192.168.0.12,RIB in 192.168.0.30,RIB in 192.168.0.3,RIB in 192.168.0.21,RIB in 192.168.0.11,RIB in 192.168.0.10,RIB in 192.168.0.14,RIB in 192.168.0.0,RIB in 192.168.0.25,RIB in 192.168.0.31,RIB in 192.168.0.5,RIB in 192.168.0.24,RIB in 192.168.0.6,RIB out 192.168.0.23,RIB out 192.168.0.9,RIB out 192.168.0.27,RIB out 192.168.0.19,RIB out 192.168.0.2,RIB out 192.168.0.1,RIB out 192.168.0.32,RIB out 192.168.0.22,RIB out 192.168.0.26,RIB out 192.168.0.17,RIB out 192.168.0.13,RIB out 192.168.0.4,RIB out 192.168.0.8,RIB out 192.168.0.18,RIB out 192.168.0.29,RIB out 192.168.0.16,RIB out 192.168.0.28,RIB out 192.168.0.7,RIB out 192.168.0.15,RIB out 192.168.0.12,RIB out 192.168.0.30,RIB out 192.168.0.3,RIB out 192.168.0.21,RIB out 192.168.0.11,RIB out 192.168.0.10,RIB out 192.168.0.14,RIB out 192.168.0.0,RIB out 192.168.0.25,RIB out 192.168.0.31,RIB out 192.168.0.5,RIB out 192.168.0.24,RIB out 192.168.0.6,
57,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,
Router 2.168.0.27
RT,RIB,RIB in 192.168.0.23,RIB in 192.168.0.9,RIB in 192.168.0.19,RIB in 192.168.0.2,RIB in 192.168.0.1,RIB in 192.168.0.32,RIB in 192.168.0.22,RIB in 192.168.0.26,RIB in 192.168.0.17,RIB in 192.168.0.13,RIB in 192.168.0.4,RIB in 192.168.0.8,RIB in 192.168.0.18,RIB in 192.168.0.29,RIB in 192.168.0.20,RIB in 192.168.0.16,RIB in 192.168.0.28,RIB in 192.168.0.7,RIB in 192.168.0.15,RIB in 192.168.0.12,RIB in 192.168.0.30,RIB in 192.168.0.3,RIB in 192.168.0.21,RIB in 192.168.0.11,RIB in 192.168.0.10,RIB in 192.168.0.14,RIB in 192.168.0.0,RIB in 192.168.0.25,RIB in 192.168.0.31,RIB in 192.168.0.5,RIB in 192.168.0.24,RIB in 192.168.0.6,RIB out 192.168.0.23,RIB out 192.168.0.9,RIB out 192.168.0.19,RIB out 192.168.0.2,RIB out 192.168.0.1,RIB out 192.168.0.32,RIB out 192.168.0.22,RIB out 192.168.0.26,RIB out 192.168.0.17,RIB out 192.168.0.13,RIB out 192.168.0.4,RIB out 192.168.0.8,RIB out 192.168.0.18,RIB out 192.168.0.29,RIB out 192.168.0.20,RIB out 192.168.0.16,RIB out 192.168.0.28,RIB out 192.168.0.7,RIB out 192.168.0.15,RIB out 192.168.0.12,RIB out 192.168.0.30,RIB out 192.168.0.3,RIB out 192.168.0.21,RIB out 192.168.0.11,RIB out 192.168.0.10,RIB out 192.168.0.14,RIB out 192.168.0.0,RIB out 192.168.0.25,RIB out 192.168.0.31,RIB out 192.168.0.5,RIB out 192.168.0.24,RIB out 192.168.0.6,
57,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336,
