MSGs,
3309,
Router 2.168.0.7
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.10,RIB in 192.168.0.2,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.10,RIB out 192.168.0.2,
97,85,0,0,0,0,0,0,0,0,3309,
Router 2.168.0.2
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.10,RIB in 192.168.0.7,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.10,RIB out 192.168.0.7,
97,85,10,10,10,10,10,10,10,10,3309,
Router 2.168.0.0
RT,RIB,RIB in 192.168.0.3,RIB in 192.168.0.11,RIB in 192.168.0.4,RIB in 192.168.0.5,RIB in 192.168.0.9,RIB in 192.168.0.1,RIB in 192.168.0.2,RIB in 192.168.0.7,RIB in 192.168.0.10,RIB in 192.168.0.6,RIB in 192.168.0.8,RIB out 192.168.0.3,RIB out 192.168.0.11,RIB out 192.168.0.4,RIB out 192.168.0.5,RIB out 192.168.0.9,RIB out 192.168.0.1,RIB out 192.168.0.2,RIB out 192.168.0.7,RIB out 192.168.0.10,RIB out 192.168.0.6,RIB out 192.168.0.8,
97,85,78,85,81,75,75,81,75,85,75,75,75,78,85,81,75,75,81,75,85,75,75,75,3309,
Router 2.168.0.9
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.5,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.5,
97,85,10,10,10,10,10,10,3309,
Router 2.168.0.5
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.11,RIB in 192.168.0.4,RIB in 192.168.0.9,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.11,RIB out 192.168.0.4,RIB out 192.168.0.9,
97,85,33,76,85,81,75,33,76,85,81,75,3309,
Router 2.168.0.4
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.5,RIB in 192.168.0.11,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.5,RIB out 192.168.0.11,
97,85,4,4,4,4,4,4,4,4,3309,
Router 2.168.0.11
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.5,RIB in 192.168.0.4,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.5,RIB out 192.168.0.4,
97,85,0,0,0,0,0,0,0,0,3309,
Router 2.168.0.3
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.11,RIB in 192.168.0.4,RIB in 192.168.0.5,RIB in 192.168.0.9,RIB in 192.168.0.1,RIB in 192.168.0.2,RIB in 192.168.0.7,RIB in 192.168.0.10,RIB in 192.168.0.6,RIB in 192.168.0.8,RIB out 192.168.0.0,RIB out 192.168.0.11,RIB out 192.168.0.4,RIB out 192.168.0.5,RIB out 192.168.0.9,RIB out 192.168.0.1,RIB out 192.168.0.2,RIB out 192.168.0.7,RIB out 192.168.0.10,RIB out 192.168.0.6,RIB out 192.168.0.8,
97,85,75,85,81,76,75,81,77,85,75,75,75,75,85,81,76,75,81,77,85,75,75,75,3309,
Router 2.168.0.8
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB out 192.168.0.0,RIB out 192.168.0.3,
97,85,10,10,10,10,3309,
Router 2.168.0.6
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.10,RIB in 192.168.0.1,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.10,RIB out 192.168.0.1,
97,85,10,10,10,10,10,10,10,10,3309,
Router 2.168.0.1
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.3,RIB in 192.168.0.10,RIB in 192.168.0.6,RIB out 192.168.0.0,RIB out 192.168.0.3,RIB out 192.168.0.10,RIB out 192.168.0.6,
97,85,10,10,10,10,10,10,10,10,3309,
