MSGs,
3271,
Router 2.168.0.1
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.6,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.6,
73,14,0,0,0,0,0,0,3271,
Router 2.168.0.14
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.6,RIB in 192.168.0.22,RIB in 192.168.0.9,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.6,RIB out 192.168.0.22,RIB out 192.168.0.9,
73,14,7,14,7,14,14,7,14,7,14,14,3271,
Router 2.168.0.25
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.6,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.6,
73,14,0,0,0,0,0,0,3271,
Router 2.168.0.7
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.6,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.6,
73,14,0,0,0,0,0,0,3271,
Router 2.168.0.6
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.25,RIB in 192.168.0.1,RIB in 192.168.0.22,RIB in 192.168.0.14,RIB in 192.168.0.9,RIB in 192.168.0.7,RIB in 192.168.0.19,RIB in 192.168.0.26,RIB in 192.168.0.5,RIB in 192.168.0.8,RIB in 192.168.0.27,RIB in 192.168.0.24,RIB in 192.168.0.0,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.25,RIB out 192.168.0.1,RIB out 192.168.0.22,RIB out 192.168.0.14,RIB out 192.168.0.9,RIB out 192.168.0.7,RIB out 192.168.0.19,RIB out 192.168.0.26,RIB out 192.168.0.5,RIB out 192.168.0.8,RIB out 192.168.0.27,RIB out 192.168.0.24,RIB out 192.168.0.0,
74,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3271,
Router 2.168.0.23
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.41,RIB in 192.168.0.40,RIB in 192.168.0.4,RIB in 192.168.0.45,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.41,RIB out 192.168.0.40,RIB out 192.168.0.4,RIB out 192.168.0.45,
73,14,7,7,14,14,14,14,7,7,14,14,14,14,3271,
Router 2.168.0.55
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.33,RIB in 192.168.0.48,RIB in 192.168.0.39,RIB in 192.168.0.51,RIB in 192.168.0.36,RIB in 192.168.0.52,RIB in 192.168.0.35,RIB out 192.168.0.44,RIB out 192.168.0.33,RIB out 192.168.0.48,RIB out 192.168.0.39,RIB out 192.168.0.51,RIB out 192.168.0.36,RIB out 192.168.0.52,RIB out 192.168.0.35,
73,14,7,7,14,14,14,14,14,14,7,7,14,14,14,14,14,14,3271,
Router 2.168.0.33
