MSGs,Ses,
52310,,230,,
Router 2.168.0.24
RT,RIB,RIB in 192.168.0.46,RIB out 192.168.0.46,
91,45,0,0,52310,
Router 2.168.0.46
RT,RIB,RIB in 192.168.0.24,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.13,RIB in 192.168.0.28,RIB in 192.168.0.36,RIB in 192.168.0.16,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB out 192.168.0.24,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.13,RIB out 192.168.0.28,RIB out 192.168.0.36,RIB out 192.168.0.16,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.22,RIB out 192.168.0.18,
91,45,45,45,40,45,45,45,35,45,40,45,40,40,45,45,40,40,40,45,45,45,45,40,45,45,45,35,45,40,45,40,40,45,45,40,40,40,45,45,52310,
Router 2.168.0.23
RT,RIB,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.13,RIB in 192.168.0.28,RIB in 192.168.0.36,RIB in 192.168.0.16,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.13,RIB out 192.168.0.28,RIB out 192.168.0.36,RIB out 192.168.0.16,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
91,45,45,40,45,45,45,35,45,40,45,40,40,45,45,40,40,45,45,45,40,45,45,40,45,45,45,35,45,40,45,40,40,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.4
RT,RIB,RIB in 192.168.0.15,RIB in 192.168.0.27,RIB in 192.168.0.5,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.28,RIB in 192.168.0.13,RIB in 192.168.0.16,RIB in 192.168.0.36,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.15,RIB out 192.168.0.27,RIB out 192.168.0.5,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.28,RIB out 192.168.0.13,RIB out 192.168.0.16,RIB out 192.168.0.36,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
92,45,45,45,45,45,40,45,45,45,45,40,40,45,45,40,45,45,40,40,45,45,45,40,45,45,45,45,45,40,45,45,45,45,40,40,45,45,40,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.22
RT,RIB,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.13,RIB in 192.168.0.28,RIB in 192.168.0.36,RIB in 192.168.0.16,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.18,RIB in 192.168.0.46,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.13,RIB out 192.168.0.28,RIB out 192.168.0.36,RIB out 192.168.0.16,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.18,RIB out 192.168.0.46,
91,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52310,
Router 2.168.0.27
RT,RIB,RIB in 192.168.0.4,RIB out 192.168.0.4,
91,45,0,0,52310,
Router 2.168.0.21
RT,RIB,RIB in 192.168.0.5,RIB out 192.168.0.5,
91,45,0,0,52310,
Router 2.168.0.5
RT,RIB,RIB in 192.168.0.21,RIB in 192.168.0.4,RIB out 192.168.0.21,RIB out 192.168.0.4,
91,45,45,0,45,0,52310,
Router 2.168.0.15
RT,RIB,RIB in 192.168.0.4,RIB out 192.168.0.4,
91,45,0,0,52310,
Router 2.168.0.29
RT,RIB,RIB in 192.168.0.18,RIB out 192.168.0.18,
91,45,0,0,52310,
Router 2.168.0.18
RT,RIB,RIB in 192.168.0.29,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.13,RIB in 192.168.0.28,RIB in 192.168.0.36,RIB in 192.168.0.16,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.22,RIB in 192.168.0.46,RIB out 192.168.0.29,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.13,RIB out 192.168.0.28,RIB out 192.168.0.36,RIB out 192.168.0.16,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.22,RIB out 192.168.0.46,
91,45,45,45,40,45,45,45,35,45,40,45,40,40,45,45,40,40,40,45,45,45,45,40,45,45,45,35,45,40,45,40,40,45,45,40,40,40,45,45,52310,
Router 2.168.0.6
RT,RIB,RIB in 192.168.0.44,RIB in 192.168.0.25,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.28,RIB in 192.168.0.13,RIB in 192.168.0.16,RIB in 192.168.0.36,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.44,RIB out 192.168.0.25,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.28,RIB out 192.168.0.13,RIB out 192.168.0.16,RIB out 192.168.0.36,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
91,45,45,45,45,40,45,45,40,45,35,40,45,45,40,45,45,40,40,45,45,45,40,45,45,45,45,40,45,45,40,45,35,40,45,45,40,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.25
RT,RIB,RIB in 192.168.0.6,RIB out 192.168.0.6,
91,45,0,0,52310,
Router 2.168.0.44
RT,RIB,RIB in 192.168.0.6,RIB out 192.168.0.6,
91,45,0,0,52310,
Router 2.168.0.0
RT,RIB,RIB in 192.168.0.45,RIB out 192.168.0.45,
91,45,0,0,52310,
Router 2.168.0.45
RT,RIB,RIB in 192.168.0.0,RIB in 192.168.0.2,RIB in 192.168.0.41,RIB in 192.168.0.42,RIB in 192.168.0.30,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.28,RIB in 192.168.0.13,RIB in 192.168.0.16,RIB in 192.168.0.36,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.0,RIB out 192.168.0.2,RIB out 192.168.0.41,RIB out 192.168.0.42,RIB out 192.168.0.30,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.28,RIB out 192.168.0.13,RIB out 192.168.0.16,RIB out 192.168.0.36,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
91,45,45,45,45,45,45,45,40,45,45,40,45,35,40,45,45,40,45,45,40,40,45,45,45,40,45,45,45,45,45,45,45,40,45,45,40,45,35,40,45,45,40,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.30
RT,RIB,RIB in 192.168.0.45,RIB out 192.168.0.45,
91,45,0,0,52310,
Router 2.168.0.41
RT,RIB,RIB in 192.168.0.45,RIB out 192.168.0.45,
91,45,0,0,52310,
Router 2.168.0.2
RT,RIB,RIB in 192.168.0.45,RIB out 192.168.0.45,
91,45,0,0,52310,
Router 2.168.0.42
RT,RIB,RIB in 192.168.0.45,RIB out 192.168.0.45,
91,45,0,0,52310,
Router 2.168.0.31
RT,RIB,RIB in 192.168.0.43,RIB in 192.168.0.35,RIB out 192.168.0.43,RIB out 192.168.0.35,
91,45,45,0,45,0,52310,
Router 2.168.0.43
RT,RIB,RIB in 192.168.0.31,RIB out 192.168.0.31,
91,45,0,0,52310,
Router 2.168.0.12
RT,RIB,RIB in 192.168.0.35,RIB out 192.168.0.35,
91,45,0,0,52310,
Router 2.168.0.35
RT,RIB,RIB in 192.168.0.12,RIB in 192.168.0.33,RIB in 192.168.0.31,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.28,RIB in 192.168.0.13,RIB in 192.168.0.16,RIB in 192.168.0.36,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.12,RIB out 192.168.0.33,RIB out 192.168.0.31,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.28,RIB out 192.168.0.13,RIB out 192.168.0.16,RIB out 192.168.0.36,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
92,45,45,45,45,45,40,45,45,45,40,45,40,45,45,40,45,45,40,40,45,45,45,40,45,45,45,45,45,40,45,45,45,40,45,40,45,45,40,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.33
RT,RIB,RIB in 192.168.0.11,RIB in 192.168.0.35,RIB out 192.168.0.11,RIB out 192.168.0.35,
91,45,45,0,45,0,52310,
Router 2.168.0.11
RT,RIB,RIB in 192.168.0.33,RIB out 192.168.0.33,
91,45,0,0,52310,
Router 2.168.0.14
RT,RIB,RIB in 192.168.0.36,RIB out 192.168.0.36,
91,45,0,0,52310,
Router 2.168.0.36
RT,RIB,RIB in 192.168.0.14,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.34,RIB in 192.168.0.35,RIB in 192.168.0.13,RIB in 192.168.0.28,RIB in 192.168.0.16,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.14,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.34,RIB out 192.168.0.35,RIB out 192.168.0.13,RIB out 192.168.0.28,RIB out 192.168.0.16,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
92,45,45,45,40,45,45,45,40,45,40,45,40,45,45,45,40,40,45,45,45,40,45,45,45,40,45,45,45,40,45,40,45,40,45,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.34
RT,RIB,RIB in 192.168.0.10,RIB in 192.168.0.26,RIB in 192.168.0.32,RIB in 192.168.0.6,RIB in 192.168.0.45,RIB in 192.168.0.4,RIB in 192.168.0.35,RIB in 192.168.0.28,RIB in 192.168.0.13,RIB in 192.168.0.16,RIB in 192.168.0.36,RIB in 192.168.0.23,RIB in 192.168.0.3,RIB in 192.168.0.40,RIB in 192.168.0.39,RIB in 192.168.0.46,RIB in 192.168.0.22,RIB in 192.168.0.18,RIB in 192.168.0.9,RIB in 192.168.0.20,RIB out 192.168.0.10,RIB out 192.168.0.26,RIB out 192.168.0.32,RIB out 192.168.0.6,RIB out 192.168.0.45,RIB out 192.168.0.4,RIB out 192.168.0.35,RIB out 192.168.0.28,RIB out 192.168.0.13,RIB out 192.168.0.16,RIB out 192.168.0.36,RIB out 192.168.0.23,RIB out 192.168.0.3,RIB out 192.168.0.40,RIB out 192.168.0.39,RIB out 192.168.0.46,RIB out 192.168.0.22,RIB out 192.168.0.18,RIB out 192.168.0.9,RIB out 192.168.0.20,
91,45,45,40,45,45,45,40,40,40,45,45,35,45,45,40,40,45,45,45,40,45,45,40,45,45,45,40,40,40,45,45,35,45,45,40,40,45,45,45,40,45,52310,
Router 2.168.0.13
